DATE,Open,High,Low,Close,Volume
2017-10-20,146.1503,146.2779,145.7774,145.9541,30173268.0
2017-10-23,146.2485,146.2681,144.7959,145.002,29297126.0
2017-10-24,145.2572,145.5517,144.7076,145.2474,20289467.0
2017-10-25,144.9628,145.4339,143.6182,144.6978,36179124.0
2017-10-26,144.6291,144.9677,144.1972,144.2365,28230199.0
2017-10-27,146.5626,148.712,146.435,148.4372,60165127.0
2017-10-30,148.2801,149.3696,148.1917,148.7709,31733386.0
2017-10-31,149.2223,149.5462,148.8199,149.3303,26319327.0
2017-11-01,149.9192,149.9977,148.6923,149.2812,29481569.0
2017-11-02,149.1046,149.1733,147.9759,148.9966,31017426.0
2017-11-03,149.5659,150.4492,149.026,150.4295,26199249.0
2017-11-06,150.2921,150.9988,150.2627,150.9399,28693919.0
2017-11-07,150.8221,151.2268,150.4983,151.0282,21333062.0
2017-11-08,150.9595,151.676,150.7731,151.6368,17373517.0
2017-11-09,150.4197,150.9203,149.291,150.8418,40594482.0
2017-11-10,150.5179,150.9497,150.2234,150.8319,20150762.0
2017-11-13,150.2823,151.214,150.2627,151.0184,12522399.0
2017-11-14,150.4688,150.6553,149.7425,150.4688,25173763.0
2017-11-15,149.7818,150.1646,148.9672,149.7621,24808004.0
2017-11-16,150.5375,152.0195,150.4884,151.676,34790570.0
2017-11-17,151.7153,151.8232,150.9497,151.0969,28725800.0
2017-11-20,151.2245,151.3423,150.7632,150.9792,21143944.0
2017-11-21,151.6956,152.6869,151.622,152.6182,20147763.0
2017-11-22,152.7458,152.9519,152.4622,152.8047,17299040.0
2017-11-24,152.9715,153.4132,152.8734,153.3641,8280586.0
2017-11-27,153.3052,153.6586,152.9421,153.2954,22653389.0
2017-11-28,153.6193,153.7862,152.8145,153.688,25227320.0
2017-11-29,153.5506,153.5506,150.2823,151.0086,71986338.0
2017-11-30,151.5975,152.5691,151.2883,152.2747,56595465.0
2017-12-01,151.3325,152.363,149.4383,151.6269,59015828.0
2017-12-04,152.5888,152.7409,149.7327,149.8799,51319146.0
2017-12-05,149.8112,151.6858,149.2812,149.9781,40604211.0
2017-12-06,149.4383,150.8859,149.242,150.6553,28647769.0
2017-12-07,150.6455,151.5975,150.4884,151.1656,32666207.0
2017-12-08,152.2256,152.6477,151.5975,151.833,28081666.0
2017-12-11,151.8919,153.0599,151.8919,153.0108,20821528.0
2017-12-12,152.9225,153.2562,152.4808,152.8047,20310252.0
2017-12-13,153.3838,153.5899,152.8734,153.0991,24418479.0
2017-12-14,153.3838,153.7567,152.8243,152.9912,24594682.0
2017-12-15,153.5899,154.8952,153.3347,154.7284,49816151.0
2017-12-18,155.6818,156.1539,155.4654,156.026,26844519.0
2017-12-19,155.731,155.8884,154.6688,155.1015,31414968.0
2017-12-20,155.6425,155.672,154.3246,154.9343,38972602.0
2017-12-21,155.131,155.6425,154.777,154.954,18638679.0
2017-12-22,154.718,154.8379,154.3639,154.777,23330440.0
2017-12-26,153.9508,154.1377,153.3804,153.941,21918720.0
2017-12-27,153.941,154.3737,153.8131,153.9606,22388186.0
2017-12-28,154.4622,154.4773,153.9606,154.1475,25393825.0
2017-12-29,154.3147,154.3147,153.1345,153.1935,33185962.0
2018-01-02,153.9213,155.9129,153.5967,155.8785,32573272.0
2018-01-03,155.9965,157.5308,155.9965,157.3931,29383557.0
2018-01-04,157.9439,158.1406,157.4448,157.6685,24776125.0
2018-01-05,158.3865,159.3602,158.1209,159.252,26992340.0
2018-01-08,159.2323,159.9503,159.193,159.8716,23159061.0
2018-01-09,160.1667,160.3535,159.3995,159.8815,24782448.0
2018-01-10,159.134,159.5372,158.4652,159.5077,34004028.0
2018-01-11,159.8028,160.6093,159.5372,160.5994,20473518.0
2018-01-12,160.3437,161.9469,160.2552,161.7797,37762708.0
2018-01-16,162.8222,163.6729,160.8355,161.3174,41231849.0
2018-01-17,162.055,163.3041,161.296,163.0582,33849879.0
2018-01-18,162.8222,163.4614,162.414,163.0877,26432166.0
2018-01-19,163.5795,163.8647,162.8074,163.5992,38937588.0
2018-01-22,163.5303,165.3498,163.3533,165.3498,26081388.0
2018-01-23,165.8613,166.8645,165.7777,166.7169,37989650.0
2018-01-24,167.012,167.4349,164.681,165.6351,54287377.0
2018-01-25,166.7563,166.835,165.0449,165.5761,28924956.0
2018-01-26,166.4809,168.1352,166.176,168.1135,32038184.0
2018-01-29,167.7103,168.0939,166.9431,167.2972,37277849.0
2018-01-30,165.7728,166.6284,165.0548,165.9203,44987688.0
2018-01-31,166.8743,167.1889,165.5662,166.6087,42449199.0
2018-02-01,165.3498,166.9333,164.6614,165.1925,38037875.0
2018-02-02,164.5827,164.9368,161.76,161.8977,68478082.0
2018-02-05,160.4421,163.0189,155.3966,155.5146,105372224.0
2018-02-06,153.3902,159.8323,152.5444,159.6356,118537891.0
2018-02-07,159.1241,160.8551,157.5603,157.5702,91028328.0
2018-02-08,158.0423,158.1505,150.9216,150.9216,94184831.0
2018-02-09,153.0951,154.6491,147.6513,153.5279,113836554.0
2018-02-12,155.072,157.3145,153.882,156.2523,63050637.0
2018-02-13,155.3769,157.3735,155.1209,157.0587,31785595.0
