종목명,현재가,전일비,등락률,액면가,거래량,시가총액,영업이익,PER,ROA
아이에스동서,30000,550,-1.80%,500,59381,9268,3874,3.77,10.95
대웅,15700,350,-2.18%,500,39521,9128,858,30.54,2.08
한솔케미칼,80200,600,-0.74%,5000,21470,9059,936,12.86,8.94
다우기술,20150,0,0.00%,500,25657,9041,3239,8.19,1.43
녹십자홀딩스,19050,100,0.53%,500,23525,8959,493,51.07,0.75
KODEX 단기채권PLUS,101365,5,0.00%,0,33884,8942,,,
넥센타이어,9120,20,0.22%,500,96810,8907,1824,9.18,3.43
쿠쿠홈시스,39650,1200,-2.94%,100,38384,8896,675,25.85,8.11
후성,9580,220,2.35%,500,5284185,8872,396,28.77,7.41
부광약품,13900,500,-3.47%,500,203777,8831,351,6.06,39.92
동원시스템즈,34300,650,-1.86%,5000,13775,8787,788,16.62,5.52
휴켐스,21350,350,-1.61%,1000,40037,8728,1392,8.35,12.04
롯데관광개발,12450,50,0.40%,500,31649,8592,30,-6.08,-24.85
종근당,81900,900,-1.09%,2500,8150,8493,757,20.03,6.01
TIGER 단기통안채,101140,5,0.00%,0,20982,8315,,,
애경산업,31500,1250,-3.82%,1000,201851,8299,792,13.08,19.27
동원F&B,215000,2500,-1.15%,5000,7767,8297,872,14.63,4.09
동원산업,224500,3000,-1.32%,5000,2606,8256,1777,10.93,2.76
KODEX MSCI Korea TR,7945,5,-0.06%,0,290348,7897,,,
덴티움,71100,700,-0.97%,500,10162,7870,420,22.97,9.16
화승엔터프라이즈,12950,350,-2.63%,500,35830,7839,403,45.6,2.46
영진약품,4240,50,-1.17%,500,592919,7755,-22,-128.48,-3.05
HANARO 200,25665,25,-0.10%,0,3556,7674,,,
쿠쿠홀딩스,107500,1000,-0.92%,500,2194,7646,679,8.21,13.68
S&T모티브,51900,100,-0.19%,5000,33199,7589,563,13.49,4.72
ARIRANG 200,25755,25,-0.10%,0,234206,7572,,,
SPC삼립,87100,700,-0.80%,5000,5368,7516,599,17.84,5.67
대한유화,115500,2000,1.76%,5000,28451,7508,3188,2.92,13.02
HDC,12500,150,-1.19%,5000,107274,7468,954,0.74,18.72
대덕전자,9530,100,-1.04%,500,385788,7434,348,1.85,
대상,21350,450,-2.06%,1000,152199,7397,1202,11.85,2.94
아모레퍼시픽우,70000,300,-0.43%,500,3717,7390,,14.54,
NICE,19500,800,-3.94%,500,78097,7387,1283,12.28,5.07
롯데하이마트,31150,500,-1.58%,5000,74231,7354,1865,8.6,2.7
한섬,29800,450,-1.49%,500,59153,7340,920,9.87,6.02
CJ CGV,34250,550,-1.58%,500,73866,7248,777,-5.15,-8.03
한세실업,18050,200,-1.10%,500,107894,7220,386,-14.22,-4.21
코스맥스,71300,1200,-1.66%,500,103206,7165,523,21.97,2.11
동아에스티,83300,1000,-1.19%,5000,9709,7034,394,87.87,0.87
미래에셋생명,3900,25,-0.64%,5000,40837,6904,1424,7.05,0.3
LIG넥스원,31250,50,0.16%,5000,97479,6875,241,153.94,0.21
영원무역홀딩스,50400,800,-1.56%,500,3067,6872,2549,7.97,5.05
SK가스,74900,600,-0.79%,5000,4301,6847,1030,11.46,1.37
락앤락,12550,800,-5.99%,500,330393,6800,365,22.65,4.16
효성티앤씨,157000,1000,-0.63%,5000,5598,6794,1251,18.49,
KODEX Top5PlusTR,12095,10,0.08%,0,232,6773,,,
한전기술,17650,200,-1.12%,200,27516,6746,215,52.22,1.69
QV 코스피 변동성 매칭형 양매도 ETN,9620,20,0.21%,0,1,6734,,,
KODEX 코스닥 150,8850,70,-0.78%,0,2551532,6730,,,
LG상사,17050,0,0.00%,5000,63725,6609,1657,-9.39,-0.72
DB하이텍,14800,100,0.68%,5000,382549,6571,1130,7.59,8.43
롯데정보통신,41950,250,0.60%,5000,47960,6459,390,19.02,3.63
KOSEF 200,25870,30,-0.12%,0,29693,6442,,,
KINDEX 200,25745,30,-0.12%,0,389160,6333,,,
TIGER MSCI Korea TR,9975,0,0.00%,0,0,6274,,,
제주항공,23750,250,-1.04%,5000,69228,6260,1012,8.83,7.74
효성첨단소재,137000,7000,5.38%,5000,257292,6138,641,-13.41,
풍산,21850,650,-2.89%,5000,54885,6123,1075,9.88,2.3
아주캐피탈,10600,50,0.47%,5000,31590,6100,1100,6.7,1.58
대신증권,11900,50,0.42%,5000,89547,6042,1585,7.33,0.77
LF,20200,150,-0.74%,5000,77628,5906,1195,7.1,5.01
동양생명,3635,55,-1.49%,5000,245510,5865,726,10.72,0.18
동국제강,6140,90,-1.44%,5000,175611,5860,1450,-1.97,-5.15
지역난방공사,50100,400,-0.79%,5000,3823,5801,145,-2.56,
현대건설기계,29050,200,-0.68%,5000,53468,5723,2087,6.36,5.27
빙그레,57600,600,-1.03%,5000,26305,5674,393,16.59,5.3
세아베스틸,15800,250,-1.56%,5000,18972,5666,559,27.01,0.68
미래에셋대우2우B,4000,10,-0.25%,5000,174985,5600,,6.94,
BGF,5820,80,-1.36%,1000,123813,5571,295,10.12,3.8
삼양식품,73300,700,-0.95%,5000,28513,5522,552,15.86,8.71
보령제약,12400,150,1.22%,500,275911,5481,250,27.02,4.76
한일현대시멘트,32200,250,-0.77%,5000,20094,5416,205,-18.38,-5.62
씨에스윈드,31300,1000,3.30%,500,77468,5410,327,91.25,1.42
대한해운,22100,50,0.23%,5000,114100,5398,1437,6.34,3.14
JW중외제약,26450,650,-2.40%,2500,63186,5374,216,72.27,1.32
동아쏘시오홀딩스,87500,800,0.92%,5000,7784,5371,505,-3.28,-12.13
세방전지,38300,150,0.39%,500,7674,5362,1113,5.55,8
LG하우시스,59600,700,-1.16%,5000,7964,5345,704,-11.22,-2.09
유안타증권,2655,40,-1.48%,5000,210401,5299,911,5.39,0.89
SK디앤디,27900,0,0.00%,1000,3372,5298,851,8.62,4.31
신영증권,56100,200,-0.36%,5000,1828,5266,1033,12.44,0.8
한국토지신탁,2070,10,-0.48%,1000,2339277,5227,1846,3.13,12.91
SK케미칼,44150,50,-0.11%,5000,28498,5184,457,95.56,-0.85
삼성화재우,162000,1000,-0.61%,500,4215,5171,,7.65,
